,Title
208,THE CANDYMAN AKA THE MAN WHO KILLED HALLOWEEN
209,THE GAINESVILLE RIPPER
210,THE GEORGIA WILLIAMS CASE
211,THE WEEPY VOICED KILLER
212,THE TIA SHARP CASE
213,THE STEPHEN LAWRENCE CASE
214,THE YORKSHIRE RIPPER CASE
215,THE ROSS PARKER CASE
216,THE SOPHIE HOOK CASE
217,THE TIM MCLEAN CASE
218,THE ALICE GROSS CASE
219,THE SCISSOR SISTERS KILLERS
220,THE VICTORIA CLIMBIÈ CASE
221,THE FANNY ADAMS CASE
222,THE PAIGE DOHERTY CASE
223,THE BRECK BEDNAR CASE
224,THE MARIA KORP CASE (THE WOMAN IN THE BOOT)
225,THE MALEHA & NABIHA MASUD CASE
226,THE RHYS JONES CASE
227,THE VALERIE GRAVES CASE
228,THE JIMMY MIZEN CASE
229,coming out to my mum (on camera)
230,THE BECKY WATTS CASE
231,THE MURDER OF SALLY ANNE BOWMAN
232,THE MURDER OF HANNAH HILL
233,THE ABDUCTION AND MURDER OF MILLY DOWLER
234,THE ABDUCTION OF SARAH PAYNE
235,THE ABDUCTION OF COLLEEN STAN (THE GIRL IN THE BOX)
236,THE SOHAM MURDERS OF HOLLY & JESSICA
237,THE ABDUCTION OF SHANNON MATTHEWS | *SOLVED*
238,THE TRAGIC MURDER OF JAMES BULGER
